Item Name,Type,Quantity,Price
Samsung 1 ton,AC,10,55000
Samsung 1.5 ton,AC,10,70000
Dawlance 1 ton,AC,10,43000
Dawlance 1.5 ton,AC,10,60000
LG 1 ton,AC,10,40000
LG 1.5 ton,AC,10,54000
Mitshubishi 1 ton,AC,10,46000
Mitshubishi 1.5 ton,AC,10,59000
Panasonic 1 ton,AC,10,50000
Panasonic 1.5 ton,AC,10,62000
Orient 1 ton,AC,10,44000
Orient 1.5 ton,AC,10,55500
Haier 1 ton,AC,10,47000
Haier 1.5 ton,AC,10,58500
Gaba National 1 ton,AC,10,38000
Gaba National 1.5 ton,AC,10,48000
PEL 1 ton,AC,10,42000
PEL 1.5 ton,AC,10,53000
Ecostar 1 ton,AC,10,41000
Ecostae 1.5 ton,AC,10,51500
