Item Name,Type,Quantity,Price
Oreo Small,Biscuits,10,10
Oreo Medium,Biscuits,10,30
Oreo Large,Biscuits,10,50
Chocolate chips small,Biscuits,10,10
Chocolate chips Medium,Biscuits,10,30
Chocolate chips Large,Biscuits,10,50
Marrie small,Biscuits,10,10
Marrie medium,Biscuits,10,30
Marrie Large,Biscuits,10,50
Rio Small,Biscuits,10,10
Rio Medium,Biscuits,10,30
Rio Large,Biscuits,10,50
Prince small,Biscuits,10,10
Prince Medium,Biscuits,10,30
Prince Large,Biscuits,10,50
Candy Small,Biscuits,10,10
Candy medium,Biscuits,10,30
Candy Large,Biscuits,10,50
TUC small,Biscuits,10,10
TUC Large,Biscuits,10,50
