Item Name,Type,Quantity,Price
Corn Flakes,Cereals,10,25
Wheat Flakes,Cereals,10,15
Rice Flakes,Cereals,10,46
Honey Corn Flakes,Cereals,10,32
Choco Corn Flakes,Cereals,10,14
Chco Rice Flakes,Cereals,10,25
Bran Flakes,Cereals,10,12
Frosted Flakes,Cereals,10,45
Choco Cups,Cereals,10,85
Fauji Atta,Cereals,10,65
Choco Stars,Cereals,10,120
Choco Rings,Cereals,10,33
Choco Scups,Cereals,10,125
Choclate Pops,Cereals,10,125
Instant Porridge,Cereals,10,125
Kheer Mix,Cereals,10,23
Barley Porridge,Cereals,10,55
Wheat Porridge,Cereals,10,45
Rice Flour,Cereals,10,65
Corn Flour,Cereals,10,878
