Item Name,Type,Quantity,Price
Lays small,Chips,10,10
Lays medium,Chips,10,20
Lays Family pack,Chips,10,50
Kurleez small,Chips,10,10
Kurleez medium,Chips,10,20
Kurleez Family pack,Chips,10,50
Oye hoye small,Chips,10,10
Oye hoye medium,Chips,10,20
Oye hoye Family pack,Chips,10,50
Kurkure small,Chips,10,10
Kurkure medium,Chips,10,20
Kurkure Family pack,Chips,10,50
Potato sticks small,Chips,10,10
Potato sticks medium,Chips,10,20
Potato sticks family pack,Chips,10,50
Pringles small,Chips,10,90
Pringles medium,Chips,10,150
Pringles Large,Chips,10,220
Wavy small,Chips,10,25
Wavy large,Chips,10,50
