Item Name,Type,Quantity,Price
Dairy Milk Small,Choclates,10,10
Dairy Milk medium,Choclates,10,30
Dairy Milk Large,Choclates,10,80
Kit Kat Small,Choclates,10,60
Kit Kat medium,Choclates,10,130
Kit Kat Large,Choclates,10,220
Bounty Small,Choclates,10,50
Bounty Medium,Choclates,10,90
Bounty Large,Choclates,10,130
Toblerone Small,Choclates,10,90
Toblerone Medium,Choclates,10,160
Toblerone Large,Choclates,10,200
Galaxy Small,Choclates,10,50
Galaxy Medium,Choclates,10,100
Galaxy Large,Choclates,10,150
Mars Small,Choclates,10,50
Mars Medium,Choclates,10,100
Mars Large,Choclates,10,150
Sonnet Small,Choclates,10,30
Sonnet Large,Choclates,10,50
