Item Name,Type,Quantity,Price
Butter,Dairy,10,25
Cheese,Dairy,10,15
Ice Cream,Dairy,10,46
Milk,Dairy,10,32
"Whey,Milk Power",Dairy,10,14
Yogurt,Dairy,10,25
Cheese,Dairy,10,12
Milk,Dairy,10,45
Blue Cheese,Dairy,10,85
Cream,Dairy,10,65
Butter Milk,Dairy,10,120
Ritocca,Dairy,10,33
Cottage Cheese,Dairy,10,125
Swiss,Dairy,10,125
Parmesan,Dairy,10,125
Drinkable Yogurt,Dairy,10,23
Choclate Flavoured Milk,Dairy,10,55
Baby Gouda,Dairy,10,45
Cow's Milk,Dairy,10,65
Cream of Coconut,Dairy,10,878
