Item Name,Type,Quantity,Price
Pepsi 500ml,Beverages,10,45
Pepsi 350ml,Beverages,10,35
Pepsi 1 litre,Beverages,10,65
Pepsi 1.5 litre,Beverages,10,85
Pepsi 2.25 litre,Beverages,10,105
Coca cola 500ml,Beverages,10,45
Coca cola 350ml,Beverages,10,35
Coca cola 1 litre,Beverages,10,65
Coca cola 1.5 litre,Beverages,10,85
Coca cola 2.25 litre,Beverages,10,105
7up 500ml,Beverages,10,45
7up 350ml,Beverages,10,35
7up 1 litre,Beverages,10,65
7up 1.5 litre,Beverages,10,85
7up 2.25 litre,Beverages,10,105
Marinda 500ml,Beverages,10,45
Marinda 350ml,Beverages,10,35
Marinda 1 litre,Beverages,10,65
Marinda 1.5 litre,Beverages,10,85
Marinda 2.25 litre,Beverages,10,105
