Item Name,Type,Quantity,Price
PEL single,Fridge,10,20000
PEL double,Fridge,10,30000
Dawlance Single,Fridge,10,30000
Dawlance Double,Fridge,10,50000
Haier Single,Fridge,10,25000
Haier Double,Fridge,10,37000
Reliance Single,Fridge,10,22000
Reliance Double,Fridge,10,34000
Samsung Single,Fridge,10,42000
Samsung Double,Fridge,10,60000
Orient Single,Fridge,10,29000
Orient Double,Fridge,10,38000
Kenwood Single,Fridge,10,33000
Kenwood Double,Fridge,10,45000
LG Single,Fridge,10,34000
LG Double,Fridge,10,46000
Super Asia Single,Fridge,10,20000
Super Asia Double,Fridge,10,29000
Panasonic Single,Fridge,10,36500
Panasonic Double,Fridge,10,47000
