Item Name,Type,Quantity,Price
K&N's Gola kabab,Frozen Item,10,650
K&N's Paratha,Frozen Item,10,450
K&N's Nuggets,Frozen Item,10,600
K&N's Kofta,Frozen Item,10,600
K&N's Shami kabab,Frozen Item,10,500
Menu Gola kabab,Frozen Item,10,600
Menu Paratha,Frozen Item,10,400
Menu Nuggets,Frozen Item,10,550
Menu Kofta,Frozen Item,10,550
Menu Shami kabab,Frozen Item,10,500
Mon Salwa Gola kabab,Frozen Item,10,630
Mon Salwa Paratha,Frozen Item,10,430
Mon Salwa Nuggets,Frozen Item,10,580
Mon Salwa Kofta,Frozen Item,10,580
Mon Salwa Shami kabab,Frozen Item,10,480
Sufi Gola kabab,Frozen Item,10,550
Sufi Paratha,Frozen Item,10,350
Sufi Nuggets,Frozen Item,10,500
Sufi Kofta,Frozen Item,10,500
Sufi Shami kabab,Frozen Item,10,420
