Item Name,Type,Quantity,Price
Mat,Furniture,10,25
Rugs,Furniture,10,15
Bed,Furniture,10,46
Table,Furniture,10,32
Dining Table,Furniture,10,14
Bookshelves,Furniture,10,25
Dresing Table,Furniture,10,12
Baskets,Furniture,10,45
Lamp,Furniture,10,85
Desk,Furniture,10,65
Sofas,Furniture,10,120
LCD Stand,Furniture,10,33
Cupboards,Furniture,10,125
Mirrors,Furniture,10,125
Jewelery Armoires,Furniture,10,125
Nightstands,Furniture,10,23
Bunk Beds,Furniture,10,55
Daybeds,Furniture,10,45
Chests,Furniture,10,65
Night Stand,Furniture,10,878
