Item Name,Type,Quantity,Price
Samsung 32 inch,LED TV,10,40000
Samsung 42 inch,LED TV,10,49000
Samsung 47 inch,LED TV,10,55000
Samsung 52 inch,LED TV,10,65000
Ecostar 32 inch,LED TV,10,30000
Ecostar 42 inch,LED TV,10,38000
Ecostar 47 inch,LED TV,10,43000
Ecostar 52 Inch,LED TV,10,52000
Panasonic 32 inch,LED TV,10,38000
Panasonic 42 inch,LED TV,10,45000
Panasonic 47 inch,LED TV,10,52000
Panasonic 52 inch,LED TV,10,58000
Orient 32 inch,LED TV,10,29000
Orient 42 inch,LED TV,10,37000
Orient 47 inch,LED TV,10,44500
Orient 52 inch,LED TV,10,51000
Haier 32 inch,LED TV,10,32500
Haier 42 inch,LED TV,10,40000
Haier 47 inch,LED TV,10,45500
Haier 52 inch,LED TV,10,52000
