Item Name,Type,Quantity,Price
Adderall,Medicines,10,25
Brufeen,Medicines,10,15
Panadol,Medicines,10,46
Augmentan,Medicines,10,32
Lexapto,Medicines,10,14
Lisinoprill,Medicines,10,25
Loratadine,Medicines,10,12
Losarten,Medicines,10,45
Ativan,Medicines,10,85
Metformin,Medicines,10,65
Naproxen,Medicines,10,120
Oxycodone,Medicines,10,33
Viagra,Medicines,10,125
Xanax,Medicines,10,125
Codeine,Medicines,10,125
Zoloft,Medicines,10,23
Gabapentin,Medicines,10,55
Amoxicelen,Medicines,10,45
Amlodipine,Medicines,10,65
Cymbalta,Medicines,10,878
