Item Name,Type,Quantity,Price
Full sleeves T-shirts,Men's Wear,10,700
Half sleeves T-shirts,Men's Wear,10,500
Fancy Shirts,Men's Wear,10,750
Casual Shirts,Men's Wear,10,1000
Formal Shirts,Men's Wear,10,1500
Cotton Pants,Men's Wear,10,2000
Jeans Pants,Men's Wear,10,1700
Hoodies,Men's Wear,10,1000
Jackets,Men's Wear,10,1200
Jeans Jackets,Men's Wear,10,1800
Under Garments,Men's Wear,10,300
Trousers,Men's Wear,10,400
Hat,Men's Wear,10,250
Tie,Men's Wear,10,100
Waist Belt,Men's Wear,10,350
Shades,Men's Wear,10,350
Wrist Watch,Men's Wear,10,2400
Coat,Men's Wear,10,3500
Waist Coat,Men's Wear,10,2500
Suit Pant,Men's Wear,10,5000
