Item Name,Type,Quantity,Price
Denizen Black,Perfume,10,250
Denizen Blue,Perfume,10,200
Denizen Red,Perfume,10,200
Denizen Green,Perfume,10,200
Denizen Pearl,Perfume,10,200
Axe Black,Perfume,10,350
Axe Blue,Perfume,10,300
Axe Red,Perfume,10,300
Axe Green,Perfume,10,300
Axe Hot,Perfume,10,300
Axe Carbon,Perfume,10,350
Body Blast,Perfume,10,200
Seven Seas,Perfume,10,300
Temptation,Perfume,10,350
Floral Desire,Perfume,10,300
Fox Sky,Perfume,10,250
Rainbow Swirl,Perfume,10,200
Chick Magnet,Perfume,10,300
Sacred Lust,Perfume,10,400
SFT special,Perfume,10,500
