Item Name,Type,Quantity,Price
Tomatto,Vegetables,10,25
Carrot,Vegetables,10,15
Potato,Vegetables,10,46
Onion,Vegetables,10,32
Cucumber,Vegetables,10,14
Eggplant,Vegetables,10,25
Cabbage,Vegetables,10,12
Pea,Vegetables,10,45
Turnip,Vegetables,10,85
Garlic,Vegetables,10,65
Spinach,Vegetables,10,120
Maize,Vegetables,10,33
Lettuce,Vegetables,10,125
Broccoli,Vegetables,10,125
Green bean,Vegetables,10,125
Chilly pepper,Vegetables,10,23
Bell paper,Vegetables,10,55
Herb,Vegetables,10,45
Luffa,Vegetables,10,65
Winter Melon,Vegetables,10,878
