Item Name,Type,Quantity,Price
Samsung small,Washing Machine,10,10000
Samsung medium,Washing Machine,10,15000
Samsung large,Washing Machine,10,20000
Haier small,Washing Machine,10,8000
Haier medium,Washing Machine,10,12000
Haier large,Washing Machine,10,17000
Dawlence small,Washing Machine,10,9000
Dawlence medium,Washing Machine,10,13000
Dawlence large,Washing Machine,10,18000
PEL small,Washing Machine,10,9500
PEL medium,Washing Machine,10,14500
PEL large,Washing Machine,10,19000
Orient small,Washing Machine,10,8000
Orient medium,Washing Machine,10,13000
Orient Large,Washing Machine,10,17500
LG small,Washing Machine,10,9500
LG medium,Washing Machine,10,14500
LG large,Washing Machine,10,19500
Mitshubishi small,Washing Machine,10,9800
Mitshubishi large,Washing Machine,10,18000
